p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
-45.348785, -53.755070
2.851033, 2.669070
8.317530, 21.459173
11.631870, 9.033782
23.163958, 22.762199
-125.792091, -127.945923
-38.423286, -29.561943
-15.123071, -18.247257
-70.999069, -71.710075
29.430878, 21.426147
-20.517168, -27.626118
24.249590, 23.751059
-51.298038, -43.758263
115.783447, 120.963943
-22.381695, -9.938722
64.111954, 65.379044
37.202759, 33.579449
80.758217, 75.811401
35.943039, 37.259842
12.152081, 17.317589
-27.391773, -25.631950
-48.260944, -59.611454
-65.099960, -66.813377
-29.727888, -29.904367
-1.089758, 3.971760
101.647148, 91.546349
-8.132711, 8.980110
-32.651440, -28.055086
48.461578, 54.680206
-78.114754, -81.158493
-4.245646, -2.665388
34.990730, 35.815922
13.222355, 17.051144
-16.956453, -23.712231
6.147303, 7.352020
-0.549705, 12.494112
-113.246506, -111.727966
79.880959, 74.932083
52.536087, 51.660954
73.018616, 65.720421
116.050476, 118.707855
16.322178, 16.553194
72.509766, 59.686920
-21.960756, -15.935962
-68.632034, -66.344543
87.912048, 79.376320
124.171776, 132.441559
36.351021, 53.980350
-4.908639, -5.546718
-47.109547, -42.668442
43.881565, 41.098873
64.858719, 63.316555
39.189137, 38.377708
62.943081, 60.333828
62.775261, 66.717216
-27.298061, -23.376286
-84.009148, -96.012688
-24.129559, -30.865919
42.170265, 47.780430
-0.416301, -15.518061
-118.347702, -124.347778
-24.635155, -38.019279
-68.650261, -70.412285
-4.989325, -18.313478
-57.600109, -61.339264
20.241674, 33.297100
5.610632, 4.663505
14.237868, 3.863650
8.167159, -0.675910
25.506008, 21.506584
-103.857246, -111.014702
13.729043, 19.292269
24.535219, 36.333183
-82.242203, -92.552498
82.525352, 80.707039
42.983833, 44.266319
31.483473, 27.844395
45.199131, 31.386713
-23.068907, -29.088900
73.209564, 72.399467
-79.769257, -84.644081
30.348326, 25.360569
47.108475, 31.492115
62.563580, 74.513596
130.900497, 127.499527
-120.094444, -122.129448
98.097198, 110.303024
-45.026047, -34.584572
-42.563850, -45.483730
44.140091, 42.032978
10.536619, 11.705974
29.366058, 27.629185
-5.140598, -19.142193
32.124771, 38.023041
-44.240383, -50.551662
-56.092514, -57.926270
18.163055, 23.154499
8.315368, 8.415862
0.545138, -3.752256
-64.263268, -74.763992
-69.460289, -63.386639
-51.219254, -49.117264
67.021156, 63.874454
-129.127121, -114.541458
9.203739, 12.608644
131.558197, 128.143463
-53.786102, -47.045582
-17.572046, 5.522871
20.241096, 28.594261
102.183998, 103.039482
-26.123219, -13.705270
-39.149300, -38.102421
27.646137, 29.496054
49.031261, 50.286381
40.953793, 27.766682
29.677729, 32.034908
-134.881653, -160.082321
190.278244, 192.264175
14.020023, 13.888641
-49.720245, -35.843231
42.577179, 45.710442
-107.955162, -99.790283
13.095108, 13.698577
-32.018333, -22.189486
-19.972933, -7.709656
13.324286, 11.426830
82.371719, 69.434982
-59.912079, -52.387169
103.153580, 110.880943
-31.139217, -30.941032
-91.319473, -84.517250
94.548363, 106.616776
17.325245, 20.302708
88.544617, 90.706940
-114.366890, -108.560287
113.706787, 116.733963
-52.508377, -63.230511
-132.826706, -131.643112
-2.191958, -2.979084
112.953621, 102.608284
15.679499, 18.649075
-76.577477, -70.973106
-26.906061, -20.009275
-45.360008, -42.076996
-43.468510, -43.229385
-203.695648, -196.540771
-46.171886, -42.186024
-60.571030, -47.468136
-114.243217, -112.997437
32.175423, 17.693258
34.720444, 45.710148
57.430950, 60.312241
75.442253, 78.744904
